"StarterGhosts"	"RandomGhosts"	"AggressiveGhosts"	"Legacy"	"Legacy2TheReckoning"
"723"	7180	26100	7110	16460	2360
"724"	2060	6740	16760	13150	3160
"725"	3710	13270	6690	14580	4250
"726"	2150	27070	6160	15740	6150
"727"	8870	7780	5910	13220	2340
"728"	12790	7770	5910	4230	8000
"729"	10130	32000	16750	15540	1780
"730"	8330	54920	12470	18070	1750
"731"	3090	8730	5910	13280	3170
"732"	11720	14910	7170	13940	2690
"733"	6750	24650	5910	13960	2230
"734"	9830	24020	22760	10380	2740
"735"	8090	21890	19810	10730	1550
"736"	7010	11470	5910	15260	2580
"737"	1550	33130	5910	14970	1550
"738"	2020	23500	19310	11270	2360
"739"	9520	14260	5910	7380	2450
"740"	6320	15360	17630	9290	3290
"741"	9390	58950	22090	13060	3290
"742"	8060	23110	2890	14690	3140
"743"	6800	35250	3200	13850	3140
"744"	8320	15090	20570	13190	1550
"745"	4580	21480	19020	15390	2380
"746"	2110	34300	10580	16060	2340
"747"	7700	37510	5910	4670	3140
"748"	8300	49040	6630	13190	3140
"749"	2590	18220	7140	15210	2750
"750"	5350	36790	15360	3570	2890
"751"	7360	35420	15880	3590	2340
"752"	2790	33890	5910	9990	1890
"753"	2310	46340	12990	12820	2890
"754"	9030	20940	5910	16820	1560
"755"	5440	13650	18760	3170	2270
"756"	2980	9770	5910	7980	2380
"757"	7320	43220	5910	12680	3140
"758"	2020	17340	11060	3890	3110
"759"	8200	33160	5910	12720	1690
"760"	12520	14640	9070	12730	1550
"761"	9720	8210	5910	11020	2380
"762"	5130	17220	20090	13330	2150
"763"	11510	15350	9740	9990	1820
"764"	7880	12270	5910	14330	1650
"765"	6280	28670	2300	14070	2340
"766"	5490	41500	22020	12880	2890
"767"	2020	30530	5510	14830	3090
"768"	3430	27360	5510	6270	2690
"769"	8800	8050	5910	5510	3090
"770"	3630	14930	5910	14660	2190
"771"	2720	19680	19420	9570	8360
"772"	7840	23250	5760	13620	1780
"773"	7250	8090	17450	14620	1760
"774"	2710	4910	3380	14020	3090
"775"	2290	31210	5370	12280	2890
"776"	8390	34660	9980	3760	1550
"777"	2240	34330	15740	14290	2890
"778"	5470	14310	5910	14620	3140
"779"	7260	5130	5510	9220	1970
"780"	7550	9270	25080	7570	3140
"781"	12360	4940	22030	14620	3140
"782"	2140	25430	17440	14860	1550
"783"	1550	10450	5910	12570	7760
"784"	7320	23850	17490	14620	2890
"785"	2020	38830	21560	14000	3480
"786"	8800	8320	5910	16550	7250
"787"	3590	32420	5540	9340	3140
"788"	7040	17220	17240	8560	2890
"789"	7990	29040	7300	6310	5760
"790"	8530	12260	22060	14770	4290
"791"	7460	29820	15130	12930	2630
"792"	5150	33300	17120	11280	2890
"793"	1910	8560	19360	4600	1550
"794"	9320	11790	5470	13620	3140
"795"	2790	13190	4750	16500	3090
"796"	4230	34530	2960	9580	5550
"797"	1960	14740	16100	4640	3090
"798"	7660	35280	19820	9540	2860
"799"	2220	31480	20250	12210	3890
"800"	2570	9970	5910	16130	2690
"801"	10670	39430	20160	14490	3490
"802"	8660	7780	4320	11340	3140
"803"	12350	16900	20500	4370	3590
"804"	1500	20200	5910	13680	2230
"805"	5140	8150	5910	7910	2890
"806"	1490	9860	6710	3390	2590
"807"	6490	24740	11180	12370	4380
"808"	9400	22590	5510	6520	3440
"809"	8120	5360	5910	5140	4710
"810"	8930	3490	20650	6310	3140
"811"	5830	20250	5910	12920	1770
"812"	2560	9770	18160	8520	1750
"813"	8650	13910	5910	13740	3140
"814"	10520	15440	5910	14220	2580
"815"	8270	14020	5760	11660	2740
"816"	4890	58450	5790	17150	2690
"817"	12660	40080	5350	11940	5580
"818"	2580	13390	5910	7580	3140
"819"	10360	13830	19760	11480	2770
"820"	2980	23510	16400	16940	3140
"821"	8040	32210	13650	4910	3290
"822"	5480	35430	5910	8680	2940
"823"	2920	5700	5910	11810	6080
"824"	8170	23850	7450	13080	2980
"825"	6860	8140	13360	15140	1650
"826"	6170	33110	15880	15070	1550
"827"	1550	21280	17730	15100	3140
"828"	5370	20170	18000	14210	2210
"829"	14570	24050	5910	7370	1570
"830"	3580	20750	5510	17530	2740
"831"	9220	2070	19730	11040	6540
"832"	6020	26110	5910	9040	3140
"833"	10500	11420	5900	8450	3580
"834"	8690	13500	5170	9470	3290
"835"	9330	19100	5910	3420	1930
"836"	10820	19580	7110	14250	1550
"837"	6210	28610	5910	4580	3070
"838"	5230	39250	5910	12300	3140
"839"	9740	29170	5910	3910	1550
"840"	12420	7710	8960	5040	3140
"841"	9330	21880	24420	16080	3140
"842"	9790	25450	5920	9170	2720
"843"	9340	29340	5910	13960	2200
"844"	2020	13070	19560	16610	2690
"845"	5770	33680	6710	13330	3140
"846"	3590	7570	5910	13940	3140
"847"	7390	15900	5910	9990	1820
"848"	6990	43130	20560	6630	1850
"849"	8040	30560	5910	5160	3090
"850"	8600	19630	5910	8780	2330
"851"	7580	9350	19160	7450	5340
"852"	6300	16240	7240	15140	2460
"853"	12500	27260	5910	12130	3140
"854"	8750	29970	21060	17170	8940
"855"	9770	28470	5910	15490	1570
"856"	8190	37230	5310	13400	3140
"857"	4160	7570	17290	14620	3150
"858"	8000	31340	7510	13870	3140
"859"	11220	27730	5760	11640	1690
"860"	2100	56610	9690	8970	6750
"861"	6590	25630	22270	5270	2690
"862"	8400	23590	5100	7150	6150
"863"	8860	30550	5510	14020	7730
"864"	3590	50540	4500	15210	5840
"865"	9260	37630	8370	14670	3140
"866"	6980	17440	19170	17860	1560
"867"	7820	20280	5510	14900	2690
"868"	7990	17880	22160	4780	2890
"869"	8080	19080	19790	3950	7090
"870"	2180	23910	26770	14500	2580
"871"	8860	26510	9920	4390	3290
"872"	4280	22190	5910	19540	3140
"873"	8900	13520	5170	11340	5740
"874"	7490	17100	5870	4390	1770
"875"	1530	18730	5910	6710	2890
"876"	8090	2760	5970	12600	3140
"877"	2590	33410	21430	7530	2780
"878"	3430	7160	15090	16670	3440
"879"	10330	17660	5910	13840	2890
"880"	2040	6100	8200	15330	2760
"881"	7570	34850	16620	4060	2560
"882"	2020	37030	15700	9570	4380
"883"	6290	9440	15250	13520	3560
"884"	7990	17050	4160	12470	3140
"885"	15340	9390	19920	11320	1930
"886"	8580	30910	15900	2760	3140
"887"	5470	20880	5910	5860	2380
"888"	2220	34730	3360	13670	3090
"889"	2090	5570	5910	4320	5890
"890"	6990	13770	3040	4380	4290
"891"	2010	25710	21360	11290	3090
"892"	6290	25540	5910	15300	8630
"893"	8670	9940	15740	12680	2260
"894"	8130	9620	19170	1800	5350
"895"	2220	20080	5910	8950	3140
"896"	7770	5430	21160	15920	2760
"897"	7980	32800	5510	4630	3140
"898"	9840	9320	24820	15790	3140
"899"	7400	30100	5910	8790	3140
"900"	8570	37140	22160	15460	2890
"901"	2970	19300	29460	3120	1550
"902"	3070	12130	8820	5830	3140
"903"	9940	3770	5910	5170	2890
"904"	7690	25660	5910	16730	3490
"905"	8660	25510	5910	13930	2150
"906"	3230	34980	18320	6150	3960
"907"	6140	4830	22090	12680	3140
"908"	5560	20260	15920	4310	5750
"909"	9230	34110	5310	4340	1820
"910"	6290	15040	9050	3830	2390
"911"	7890	31350	12160	13220	2710
"912"	9780	27840	20760	4140	5490
"913"	5380	16890	19760	4230	1850
"914"	9840	43770	19960	6580	3070
"915"	5760	18180	5160	9180	3090
"916"	7050	8880	20360	13290	5690
"917"	6360	32020	13670	14330	2890
"918"	6570	20110	18930	12680	3180
"919"	5870	2360	5910	12930	2360
"920"	9060	29990	19850	4940	3140
"921"	1510	3370	17070	6560	4180
"922"	9230	12470	5910	4620	5700
"923"	7440	31810	5910	11030	1870
"924"	8280	22060	5910	15590	3090
"925"	6780	6270	5390	13900	3140
"926"	6270	14380	17530	16660	3090
"927"	9970	16790	16420	4850	5950
"928"	11990	19140	5910	3750	3090
"929"	9300	23490	5910	16770	3090
"930"	8260	16200	4640	3580	2690
"931"	13020	15890	5910	4310	1550
"932"	2030	23910	9300	13210	5740
"933"	7310	26290	8310	14860	3140
"934"	8310	24790	14380	15390	3710
"935"	4030	14840	20770	14120	2990
"936"	12400	22930	8210	16080	3140
"937"	2220	5230	5510	9170	3290
"938"	4200	41150	15110	3390	7330
"939"	7840	42000	8330	9550	2780
"940"	1500	37500	7510	13470	1570
"941"	8760	20060	4130	11220	1820
"942"	2820	35350	4350	12140	3140
"943"	8720	21060	14640	12270	7330
"944"	8720	16550	24250	10920	2750
"945"	10140	6370	22360	4710	2980
"946"	9740	14900	5910	3580	3490
"947"	5960	23640	17880	11170	3290
"948"	1500	27180	5910	13770	2460
"949"	11540	19030	4100	6350	3540
"950"	9510	27190	5910	8340	2380
"951"	7700	13740	7510	14010	4600
"952"	9250	39050	5910	14290	1730
"953"	7590	14030	22230	14560	5550
"954"	8860	17310	13770	12660	2760
"955"	5170	43280	4310	5440	2690
"956"	7790	9500	5910	5530	1790
"957"	2310	11140	5910	4560	1560
"958"	2100	38440	4140	5110	2360
"959"	9160	4730	18960	4650	3490
"960"	8600	30780	3970	14280	5550
"961"	5790	16300	5910	11380	2890
"962"	6290	35600	23460	12260	2690
"963"	8400	18610	6560	14240	2380
"964"	9190	29170	12870	3180	2260
"965"	6790	29790	5110	15530	3140
"966"	8530	9060	12640	3980	3140
"967"	8120	25570	17260	14890	3140
"968"	2080	6900	5910	11280	3140
"969"	2040	19260	5910	14540	2160
"970"	7070	27160	9700	15280	4690
"971"	11190	19950	23120	17660	3090
"972"	12420	8340	20360	5120	3450
"973"	3000	25090	3040	10540	7660
"974"	2220	15700	16720	4670	3140
"975"	6360	22850	22020	11320	3140
"976"	5580	25940	5310	4200	2340
"977"	10340	38850	5910	13010	2740
"978"	4910	30090	9730	3970	5870
"979"	8480	20810	13560	14280	1870
"980"	4030	23810	5940	13070	3620
"981"	3210	30090	20460	20450	2980
"982"	10170	53590	19760	12540	2230
"983"	9900	25250	5990	4600	3140
"984"	6440	8150	5910	16340	1550
"985"	6550	27410	24560	15500	6350
"986"	8080	25310	18270	18590	1550
"987"	7640	26310	19360	11850	1550
"988"	9360	26740	5760	4620	6540
"989"	7860	19700	21760	11780	2740
"990"	9270	17670	5910	15600	2780
"991"	6210	36660	5910	8530	3140
"992"	9860	11780	14560	9860	1550
"993"	7590	47720	5910	17060	5280
"994"	8020	5060	13050	12160	5780
"995"	7270	12870	15820	12770	1790
"996"	8960	33440	16600	6380	1590
"997"	10160	31500	5510	3160	2760
"998"	2990	39860	7580	16940	3180
"999"	9720	14900	9140	12170	3140
"1000"	5290	38430	5910	11320	3140
