"StarterGhosts"	"RandomGhosts"	"AggressiveGhosts"	"Legacy"	"Legacy2TheReckoning"
"166"	8230	21930	14160	12540	2580
"167"	8460	9770	5510	13280	2380
"168"	8930	7970	23560	11550	1610
"169"	2590	32710	5910	3160	2870
"170"	8170	30760	4130	3980	2700
"171"	5140	22380	5910	13900	2690
"172"	5590	4560	6780	8710	1810
"173"	12710	21710	21760	17060	1680
"174"	2390	9630	3510	13850	3140
"175"	8530	25710	5510	12140	3830
"176"	3610	26890	5510	16260	3090
"177"	2030	15630	27360	9730	3140
"178"	8530	18170	5310	10590	3140
"179"	17340	9990	18620	14610	3140
"180"	9320	25280	16710	14140	2890
"181"	1990	31410	9040	5550	2330
"182"	2020	15340	17760	12910	3140
"183"	5960	47870	23160	6360	5520
"184"	6090	5910	19300	5110	2460
"185"	6160	8530	5170	13530	2690
"186"	14010	23710	25640	12820	3140
"187"	4920	28160	5910	9680	1550
"188"	7570	17190	5910	9600	5740
"189"	8460	19350	4370	9580	2890
"190"	6560	17280	15720	14950	2820
"191"	8670	9990	5910	3190	4320
"192"	2020	9590	22940	5510	4290
"193"	3430	38380	18760	14260	3140
"194"	8220	9170	5910	13930	1820
"195"	5650	9790	5910	11500	2690
"196"	7540	16130	5310	9850	1780
"197"	10400	16830	19990	15940	6140
"198"	3960	52490	18700	5510	2890
"199"	5450	33430	5510	3990	3120
"200"	5660	11470	4100	14260	2690
"201"	7410	28390	16560	12920	2580
"202"	8060	5400	5910	4180	1550
"203"	1500	24240	5910	9120	1860
"204"	11460	15550	17900	5110	3140
"205"	8600	9410	5910	4740	2890
"206"	8670	12140	5390	13930	5350
"207"	7840	26830	5510	12170	2340
"208"	11770	8430	5510	15330	3570
"209"	9470	32580	8970	9480	2480
"210"	2080	2680	4370	4150	2360
"211"	6970	8170	5950	15950	4950
"212"	4930	8230	5310	13940	2980
"213"	5470	17410	9540	13330	3140
"214"	6090	7570	6710	4590	3140
"215"	8320	22120	5140	5510	2890
"216"	8390	3090	8710	4330	3490
"217"	2360	26390	17140	8370	1580
"218"	11520	24050	7110	5190	3290
"219"	7750	20690	5910	16190	6750
"220"	8260	15560	25760	3910	8430
"221"	3340	28520	5910	12940	3140
"222"	7580	12500	25160	9540	3140
"223"	9750	6020	5340	13540	3140
"224"	4920	9160	20690	15660	3140
"225"	9680	12790	18160	10560	3140
"226"	6760	13460	5910	14060	2360
"227"	8040	17720	5910	3760	1850
"228"	6970	5570	5370	12680	1770
"229"	7890	8200	24390	6150	2890
"230"	7260	18320	5910	6710	2920
"231"	9210	8120	4310	3340	2390
"232"	9390	12610	5910	13590	6930
"233"	1960	15630	15550	16190	2160
"234"	7500	17480	5110	16960	3570
"235"	8330	10670	3580	5510	2890
"236"	2360	23990	5910	15960	3140
"237"	2290	12860	21350	3910	3220
"238"	8630	15350	17050	3360	2340
"239"	7960	24310	17560	13280	2660
"240"	9390	6440	22760	13480	2550
"241"	3780	20860	19520	8500	3140
"242"	7200	25250	4100	3490	3630
"243"	6190	6450	5310	6940	3090
"244"	3440	8970	5910	13320	5100
"245"	6190	29450	5910	4560	4290
"246"	8820	58140	5910	14420	2770
"247"	8400	18100	4510	4600	2980
"248"	6990	16740	16640	13480	1680
"249"	7870	23590	19030	15490	2690
"250"	3430	21060	3350	6850	3180
"251"	5370	8370	5910	11370	2890
"252"	10740	12270	5910	4620	2980
"253"	9010	34100	3560	16540	1570
"254"	2220	24250	24160	15750	1550
"255"	12520	27140	2950	12140	2790
"256"	7200	14570	19820	14660	3140
"257"	10660	41710	5330	15580	2890
"258"	2230	22850	5910	15130	3160
"259"	2320	27210	3360	14530	1550
"260"	1480	26250	17560	14660	2110
"261"	2020	29290	5910	4580	1550
"262"	5790	15120	20270	13320	3140
"263"	2740	4160	16500	8350	3140
"264"	10330	24310	7180	11530	2690
"265"	7330	9930	5910	4390	3140
"266"	8660	14010	17760	14350	3140
"267"	7640	8460	7170	12980	5890
"268"	10930	18740	17760	15190	1600
"269"	8250	34400	5910	6030	3090
"270"	2530	17640	18630	4050	3180
"271"	2180	17620	19820	4750	3490
"272"	8660	25400	5780	11930	3180
"273"	4030	19660	5910	4940	1570
"274"	7720	20680	21650	12900	3140
"275"	9380	2650	5910	15260	6150
"276"	9790	32800	3360	14330	1680
"277"	2280	40380	4100	5930	2360
"278"	7480	18960	18470	15020	7330
"279"	6760	16930	24030	13350	2790
"280"	9730	34770	15730	7450	2890
"281"	7190	24850	17760	11820	1780
"282"	3630	13260	19620	17160	3090
"283"	2540	15110	5760	15150	6550
"284"	9640	5830	5910	12140	3090
"285"	2020	37450	5910	14570	5690
"286"	7410	23910	2300	12840	4690
"287"	5410	21800	17160	16760	1550
"288"	1530	34600	17140	3420	1810
"289"	2020	24250	14030	3590	2690
"290"	8380	26250	5910	4250	3140
"291"	7240	32930	17540	15820	3490
"292"	8560	8460	5310	3350	3140
"293"	11590	11940	5910	19280	3150
"294"	2970	8140	7970	14390	2690
"295"	8170	16810	14850	14900	1570
"296"	1500	15810	21510	7110	3140
"297"	7160	9330	24450	6690	3140
"298"	3080	5150	5910	13080	3160
"299"	10940	11950	16160	8780	5180
"300"	1550	8120	6700	15700	3140
"301"	2420	13480	6690	11740	2380
"302"	11680	30600	5910	15300	3890
"303"	9330	30660	20820	8610	2690
"304"	6630	15450	7440	12590	5350
"305"	7990	16570	5510	3490	2920
"306"	2030	13530	5510	9740	3140
"307"	2060	13070	16680	9930	1580
"308"	8840	38940	6760	13110	3140
"309"	7510	11470	3740	13070	1780
"310"	2570	17030	3360	4340	3290
"311"	5060	8780	5510	11020	2690
"312"	3830	29270	5910	12400	3670
"313"	12390	34410	7510	3760	3140
"314"	12220	15790	5910	3760	3140
"315"	3930	21560	6710	12720	2690
"316"	7190	11140	6710	12390	3070
